"RentTotal","SqftLease","Renovation","LeaseLen","Age","DistCity","DistAirp","DriveAirp","Location","Occupancy","FloorsBldg","SqftFloor","Elevators","Restaurant","Wiring","Exercise","DistHosp","FirmType","FloorLease","Renewable","Parking"
607947.45384175,36314.27,9,8,27,4.96,11.17,19.1,"SUBNEW",0.9,19,43135.31,6,"NO","NO","NO",0.73,"BUS.",8,"NO",8
162863.472397966,9030.73,17,4,29,4.04,12.89,22.3,"SUBNEW",0.84,6,22869.11,6,"YES","NO","YES",1.46,"BUS.",6,"NO",0
81294.9992384059,6981.9,7,10,38,2.22,15.21,28.51,"SUBOLD",0.84,13,36678.87,5,"NO","NO","NO",1.64,"BUS.",7,"NO",1
230680.732719518,6028.5,3,4,75,0.48,13.99,24.76,"CITY",0.78,8,27920.08,4,"YES","YES","NO",0.43,"OTHER",5,"NO",5
1333128.89722299,56874.18,17,3,17,4.33,10.61,13.21,"SUBNEW",0.59,21,31723.58,7,"YES","NO","NO",1.38,"BUS.",13,"NO",6
44284.4529634112,1762.81,9,4,9,4.03,11.65,17.07,"SUBNEW",0.99,17,40683.65,8,"YES","NO","NO",1.44,"DOCTOR",15,"NO",3
41086.6643946742,4543,26,10,44,3.39,17.77,38.92,"SUBOLD",0.78,6,6768.36,3,"NO","NO","NO",1.65,"LEGAL",5,"NO",6
1040393.52610043,5114.71,8,3,34,2.29,16.02,31.64,"SUBOLD",0.87,15,28091.93,7,"NO","YES","NO",1.89,"DOCTOR",1,"NO",3
41301.8939979538,2204.09,13,9,13,5.27,12.11,23.43,"SUBNEW",0.86,13,54847.66,6,"NO","NO","NO",1.82,"LEGAL",13,"NO",0
1859393.17083101,95953.43,18,6,18,0.4,14.03,24.53,"CITY",0.89,51,28694.5,13,"NO","NO","NO",0.31,"BUS.",6,"YES",14
231355.663293571,12861.83,18,4,18,5.36,13.61,28.13,"SUBNEW",0.92,14,43765.78,4,"NO","NO","NO",2.2,"LEGAL",13,"NO",0
-50183.8799909672,4057.35,9,3,42,6.01,19.57,46.15,"SUBOLD",0.75,8,20981.66,4,"NO","NO","NO",2.03,"DOCTOR",3,"NO",2
74337.2692586646,4700.53,8,5,8,1.87,15.98,31.57,"SUBOLD",0.86,9,40017.5,4,"NO","NO","NO",1.38,"DOCTOR",2,"NO",3
799245.570746184,30373.87,12,6,12,5.6,10.54,20.11,"SUBNEW",0.88,13,39591.47,6,"YES","YES","NO",0.35,"BUS.",5,"NO",4
128704.406781478,6054.91,15,7,15,5.71,10.69,21.02,"SUBNEW",0.87,24,42441.51,7,"YES","NO","NO",0.62,"DOCTOR",4,"NO",5
633360.608683428,27063.23,10,7,10,3.09,11.39,14.12,"SUBNEW",0.86,18,36097.51,4,"YES","NO","YES",0.58,"BUS.",3,"NO",0
105742.656966499,6297.57,16,6,16,2.96,11.66,14.31,"SUBNEW",0.95,9,35408.04,3,"NO","NO","NO",0.77,"DOCTOR",8,"NO",0
123527.316835589,8895.66,7,5,39,3.41,17.75,38.75,"SUBOLD",0.55,20,32827.57,6,"YES","NO","YES",1.42,"LEGAL",13,"NO",5
328736.517831577,14209.78,25,8,47,1.07,14.24,27.04,"CITY",0.97,10,6309.55,6,"NO","NO","NO",0.28,"DOCTOR",1,"YES",3
313829.44166644,13954.02,4,5,17,2.59,11.86,16.11,"SUBNEW",0.94,21,40103.24,4,"NO","NO","NO",0.13,"BUS.",12,"NO",3
126195.553942149,6676.85,6,7,6,3.14,12.46,18.3,"SUBNEW",0.97,17,35027.29,6,"NO","NO","NO",1.85,"OTHER",14,"NO",2
832984.01904247,50077.13,24,4,24,1.96,16.38,33.87,"SUBOLD",0.82,18,38701.4,3,"NO","YES","NO",0.85,"BUS.",13,"NO",0
35040.028994782,1761.58,14,8,14,1.87,13.16,20.19,"SUBNEW",0.85,21,44692.79,8,"NO","NO","NO",1.33,"OTHER",12,"NO",0
55775.9433883814,2337.44,7,6,7,2.87,11.55,16.31,"SUBNEW",0.8,15,26298.71,6,"NO","YES","NO",0.42,"DOCTOR",3,"NO",0
328110.179904615,23351.52,39,6,39,1.05,14.72,26.55,"CITY",0.78,16,21720.33,4,"NO","NO","NO",1.3,"BUS.",15,"NO",4
78187.6274624144,3431.31,52,4,52,1.46,13.65,22.16,"CITY",0.95,17,26626.31,6,"NO","NO","NO",1.07,"BUS.",15,"YES",1
191728.884471856,8333.95,6,9,70,1.45,13.02,21.56,"CITY",0.82,11,6146.44,4,"NO","NO","NO",0.87,"LEGAL",10,"NO",3
1065565.1379308,40906.69,41,3,59,1.17,13.33,21.46,"CITY",0.97,18,24041.24,4,"YES","NO","NO",0.48,"BUS.",8,"NO",0
66048.6543003671,8871.8,34,8,34,5.06,18.82,42.94,"SUBOLD",0.87,5,31679.1,3,"NO","NO","NO",1.06,"OTHER",2,"NO",0
1984391.80958398,84032.61,5,3,5,3.53,11.35,13.34,"SUBNEW",0.92,25,53291.42,7,"YES","NO","YES",1.45,"BUS.",13,"NO",8
1052918.29664836,51757.34,35,8,50,0.25,14.18,25.28,"CITY",0.92,27,24395.27,5,"NO","NO","NO",0.5,"GOVT",9,"NO",6
365693.665837876,21137.77,30,3,30,4.61,12.22,21.51,"SUBNEW",0.87,18,46839.97,8,"NO","NO","NO",1.79,"BUS.",17,"NO",4
989379.556271451,48764.7,41,6,60,0.54,14.97,28.2,"CITY",0.88,23,28553.68,8,"NO","NO","NO",0.61,"OTHER",15,"YES",6
511807.701597529,17952.19,5,9,20,1.26,15.48,30.98,"CITY",0.98,58,41987.63,10,"YES","NO","YES",0.49,"DOCTOR",5,"NO",2
715874.242308795,40599.02,0,6,0,1.79,13.47,21.43,"SUBNEW",0.43,10,24453.61,4,"NO","NO","NO",1.37,"OTHER",5,"NO",2
601266.674583171,27363.85,38,3,38,0.55,14.2,24.75,"CITY",0.85,21,34183.75,7,"NO","NO","NO",0.58,"BUS.",13,"NO",4
83356.3839929539,3029.93,48,9,48,1.47,12.99,21.36,"CITY",0.89,16,24285.02,3,"NO","NO","NO",0.88,"LEGAL",5,"NO",3
907079.199072797,38713.22,39,3,39,0.88,15.2,28.78,"CITY",0.92,27,32425.11,5,"YES","NO","NO",0.73,"BUS.",20,"NO",2
1759137.52532871,53748.59,0,7,39,0.79,13.79,23.18,"CITY",0.77,4,31964.62,3,"YES","NO","YES",0.32,"BUS.",3,"YES",4
218326.671564874,7296.79,9,10,39,0.98,13.49,23.05,"CITY",0.86,23,49026.16,6,"YES","NO","YES",0.49,"OTHER",4,"NO",7
149163.757966183,5747.93,24,4,70,1.44,15,30.18,"CITY",0.97,17,30334.38,5,"NO","NO","NO",0.86,"DOCTOR",1,"NO",1
2771803.7754949,153277.04,8,10,8,5.52,10.43,19.38,"SUBNEW",0.79,19,60560.46,3,"NO","NO","NO",0.16,"BUS.",8,"NO",0
134635.963844398,4270.97,0,7,30,5.23,12.3,23.84,"SUBNEW",0.79,20,41008.02,7,"NO","YES","NO",1.99,"DOCTOR",3,"NO",1
211247.359326927,6121.72,6,9,6,1.42,15.84,31.48,"CITY",0.99,74,58272.26,10,"YES","YES","NO",0.48,"DOCTOR",47,"YES",2
24105.7920522254,2596.4,39,6,39,4.9,19.09,43.91,"SUBOLD",0.82,7,25681.35,5,"NO","NO","NO",1.35,"DOCTOR",5,"NO",2
435921.126196715,14633.57,1,4,13,2.55,12.08,16.02,"SUBNEW",0.94,9,27056.6,6,"NO","YES","NO",0.71,"LEGAL",8,"NO",0
204110.99810541,7891.58,6,3,19,1.48,15.56,31.63,"CITY",0.97,60,28218.92,12,"YES","NO","YES",0.75,"OTHER",6,"NO",1
364087.207215549,18901.64,43,7,43,0.19,14.35,26.07,"CITY",0.97,14,28533.26,6,"NO","NO","NO",0.7,"GOVT",7,"NO",4
1483567.46179049,83723.64,44,10,44,0.45,13.98,24.48,"CITY",0.91,17,37937.61,3,"NO","NO","NO",0.31,"BUS.",15,"NO",6
69196.5091634164,4926.86,57,4,74,0.92,15.22,28.84,"CITY",0.81,6,28421.52,6,"NO","NO","NO",0.75,"BUS.",3,"YES",3
